author_id	database	data mining	machine learning	information retrieval
a1	0	0	1	0
a5	0	0	1	0
a8	0	0	1	0
a9	0	0	1	0
a10	0	0	1	0
a15	1	0	0	0
a17	1	0	0	0
a22	0	0	1	0
a26	0	0	1	0
a31	0	0	0	1
a33	0	0	1	0
a36	0	0	1	0
a40	0	0	1	0
a43	0	0	1	0
a44	0	0	1	0
a58	0	0	1	0
a60	0	0	1	0
a61	0	0	1	0
a73	0	1	0	0
a76	0	1	0	0
a79	0	1	0	0
a82	0	0	1	0
a84	0	0	1	0
a87	0	0	1	0
a91	0	0	1	0
a97	0	0	1	0
a103	0	0	1	0
a109	0	0	1	0
a111	0	0	1	0
a116	0	0	1	0
a117	0	0	1	0
a120	0	1	0	0
a121	0	0	1	0
a123	0	0	1	0
a124	0	0	1	0
a127	0	0	1	0
a130	0	0	1	0
a133	0	0	1	0
a146	0	0	1	0
a148	0	0	1	0
a149	0	0	1	0
a153	0	0	1	0
a154	0	0	1	0
a158	0	0	1	0
a161	0	0	1	0
a165	0	0	1	0
a167	0	0	1	0
a170	0	0	1	0
a176	0	0	1	0
a177	0	0	1	0
a181	0	0	1	0
a183	0	0	1	0
a186	0	0	1	0
a189	0	0	1	0
a191	0	0	1	0
a192	0	0	1	0
a194	0	0	1	0
a198	0	0	1	0
a200	0	0	1	0
a209	0	0	1	0
a212	0	0	1	0
a223	0	0	1	0
a227	0	0	1	0
a230	0	1	0	0
a232	0	0	1	0
a235	0	0	0	1
a237	0	0	1	0
a239	0	0	1	0
a246	0	0	1	0
a249	0	0	1	0
a252	0	0	1	0
a253	0	0	1	0
a258	0	0	1	0
a263	0	0	0	1
a270	0	0	1	0
a275	0	0	1	0
a278	0	0	1	0
a280	0	0	1	0
a285	0	0	1	0
a289	0	0	1	0
a291	0	0	1	0
a298	0	0	1	0
a300	0	0	1	0
a303	0	0	1	0
a307	0	0	1	0
a313	0	0	1	0
a318	0	0	1	0
a319	0	0	1	0
a322	0	0	1	0
a323	0	0	1	0
a325	0	0	1	0
a326	0	0	1	0
a330	0	0	0	1
a334	0	0	1	0
a336	0	1	0	0
a340	0	0	1	0
a342	0	0	1	0
a343	0	0	1	0
a347	0	1	0	0
a354	0	0	1	0
a357	0	0	1	0
a359	0	0	1	0
a360	0	0	1	0
a362	0	0	0	1
a363	0	0	0	1
a366	0	0	1	0
a368	0	0	1	0
a373	0	0	1	0
a374	0	0	1	0
a377	0	0	1	0
a383	0	1	0	0
a387	0	0	1	0
a388	0	0	1	0
a390	0	0	1	0
a396	0	0	1	0
a397	0	0	1	0
a399	0	0	1	0
a402	0	0	1	0
a404	0	0	1	0
a416	1	0	0	0
a419	0	0	1	0
a424	0	0	1	0
a427	0	0	1	0
a431	0	0	1	0
a433	0	0	1	0
a436	0	0	1	0
a439	0	0	1	0
a445	0	0	1	0
a448	0	0	0	1
a452	1	0	0	0
a456	0	0	1	0
a458	0	0	1	0
a463	0	0	1	0
a468	0	0	1	0
a471	0	0	1	0
a474	0	0	0	1
a479	0	0	0	1
a486	0	0	0	1
a490	0	0	1	0
a492	0	0	1	0
a498	0	0	0	1
a500	0	0	1	0
a505	0	0	1	0
a510	0	0	1	0
a517	0	0	1	0
a524	0	0	0	1
a530	0	0	1	0
a535	0	0	1	0
a538	0	0	1	0
a541	0	0	1	0
a544	0	0	1	0
a545	0	0	1	0
a550	0	0	1	0
a554	0	0	1	0
a556	0	0	0	1
a559	0	0	1	0
a562	0	0	1	0
a563	0	0	1	0
a564	0	0	1	0
a569	0	0	1	0
a572	0	0	1	0
a576	0	0	1	0
a580	0	0	1	0
a586	0	0	1	0
a598	0	0	1	0
a608	0	0	1	0
a617	0	0	1	0
a618	0	0	1	0
a621	0	0	1	0
a629	0	0	0	1
a631	0	0	1	0
a637	0	0	1	0
a640	0	0	0	1
a643	0	0	1	0
a646	0	0	1	0
a649	0	0	1	0
a657	0	0	1	0
a660	0	0	1	0
a662	0	0	1	0
a665	0	0	1	0
a670	0	0	1	0
a674	0	0	1	0
a677	0	0	1	0
a678	0	0	1	0
a685	0	0	1	0
a699	0	0	1	0
a713	0	0	1	0
a717	0	0	1	0
a720	0	0	1	0
a722	0	0	1	0
a725	0	0	1	0
a726	0	0	1	0
a731	0	0	1	0
a734	0	1	0	0
a742	0	0	1	0
a743	0	0	1	0
a746	0	0	1	0
a753	0	0	1	0
a755	0	1	0	0
a758	0	0	0	1
a760	0	0	1	0
a775	0	0	1	0
a777	0	0	1	0
a784	0	0	1	0
a792	0	0	1	0
a800	0	0	0	1
a806	0	0	1	0
a811	0	0	1	0
a813	0	0	1	0
a816	0	0	1	0
a820	0	0	0	1
a825	0	0	1	0
a831	0	0	1	0
a834	0	0	1	0
a836	0	0	1	0
a838	0	0	1	0
a842	0	0	1	0
a845	0	0	1	0
a855	0	0	1	0
a860	0	0	1	0
a868	0	0	1	0
a880	0	1	0	0
a882	1	0	0	0
a889	1	0	0	0
a890	1	0	0	0
a893	0	1	0	0
a896	0	0	0	1
a899	0	0	0	1
a901	0	0	0	1
a903	0	0	0	1
a907	1	0	0	0
a912	1	0	0	0
a915	0	0	0	1
a918	0	1	0	0
a922	1	0	0	0
a925	0	0	1	0
a931	0	0	0	1
a935	1	0	0	0
a938	0	0	0	1
a943	0	0	0	1
a948	0	0	0	1
a952	0	1	0	0
a954	0	0	0	1
a960	0	1	0	0
a963	1	0	0	0
a971	0	0	0	1
a972	1	0	0	0
a974	1	0	0	0
a976	1	0	0	0
a979	0	0	0	1
a985	0	0	0	1
a988	0	0	0	1
a989	0	0	0	1
a990	0	0	0	1
a997	0	0	0	1
a1001	0	1	0	0
a1004	0	0	0	1
a1006	0	0	0	1
a1010	0	0	0	1
a1012	0	0	0	1
a1013	0	0	0	1
a1017	0	0	0	1
a1021	0	0	0	1
a1023	0	0	0	1
a1028	0	1	0	0
a1031	0	0	0	1
a1034	0	0	0	1
a1042	1	0	0	0
a1043	1	0	0	0
a1046	0	1	0	0
a1051	0	1	0	0
a1054	1	0	0	0
a1058	1	0	0	0
a1059	0	0	0	1
a1062	0	0	0	1
a1064	1	0	0	0
a1067	1	0	0	0
a1072	0	1	0	0
a1074	1	0	0	0
a1082	0	0	0	1
a1083	0	0	0	1
a1084	0	0	0	1
a1086	1	0	0	0
a1091	0	0	0	1
a1095	0	1	0	0
a1098	0	0	0	1
a1103	1	0	0	0
a1105	0	0	0	1
a1110	0	0	0	1
a1113	0	0	0	1
a1120	1	0	0	0
a1123	0	0	1	0
a1136	1	0	0	0
a1139	0	1	0	0
a1140	0	1	0	0
a1144	0	1	0	0
a1146	1	0	0	0
a1147	1	0	0	0
a1148	1	0	0	0
a1151	1	0	0	0
a1152	0	0	0	1
a1156	0	0	0	1
a1158	0	0	0	1
a1163	1	0	0	0
a1168	0	0	0	1
a1170	0	0	0	1
a1171	0	0	0	1
a1177	1	0	0	0
a1182	0	1	0	0
a1184	0	0	0	1
a1186	0	0	0	1
a1189	0	0	0	1
a1197	0	0	0	1
a1206	1	0	0	0
a1212	0	0	0	1
a1214	0	0	0	1
a1219	1	0	0	0
a1223	1	0	0	0
a1230	0	1	0	0
a1231	0	1	0	0
a1233	0	0	0	1
a1238	0	0	0	1
a1239	0	0	0	1
a1244	1	0	0	0
a1247	0	0	0	1
a1248	1	0	0	0
a1251	1	0	0	0
a1252	1	0	0	0
a1256	0	0	0	1
a1258	1	0	0	0
a1262	0	0	0	1
a1263	0	0	0	1
a1268	1	0	0	0
a1270	1	0	0	0
a1273	1	0	0	0
a1277	0	1	0	0
a1278	1	0	0	0
a1281	1	0	0	0
a1286	0	1	0	0
a1288	0	1	0	0
a1290	1	0	0	0
a1297	1	0	0	0
a1302	0	1	0	0
a1304	0	0	0	1
a1307	1	0	0	0
a1310	1	0	0	0
a1316	0	0	0	1
a1319	0	1	0	0
a1321	1	0	0	0
a1324	0	0	0	1
a1325	0	0	0	1
a1327	0	0	0	1
a1330	0	1	0	0
a1331	1	0	0	0
a1337	0	0	0	1
a1347	0	1	0	0
a1349	1	0	0	0
a1353	0	0	0	1
a1354	0	0	0	1
a1357	1	0	0	0
a1362	0	1	0	0
a1366	0	0	0	1
a1367	0	0	0	1
a1370	0	1	0	0
a1373	0	1	0	0
a1375	1	0	0	0
a1380	0	1	0	0
a1383	1	0	0	0
a1384	1	0	0	0
a1388	0	0	0	1
a1392	0	0	0	1
a1395	0	1	0	0
a1399	1	0	0	0
a1402	0	1	0	0
a1404	0	0	0	1
a1408	1	0	0	0
a1410	0	0	1	0
a1416	0	1	0	0
a1417	1	0	0	0
a1421	0	0	0	1
a1424	0	1	0	0
a1426	0	0	0	1
a1429	1	0	0	0
a1435	1	0	0	0
a1438	0	0	0	1
a1447	0	0	0	1
a1451	0	0	0	1
a1455	0	0	0	1
a1458	0	1	0	0
a1461	0	0	0	1
a1467	0	0	0	1
a1469	0	0	0	1
a1475	1	0	0	0
a1476	0	1	0	0
a1481	0	1	0	0
a1485	0	1	0	0
a1488	0	1	0	0
a1490	1	0	0	0
a1492	0	0	0	1
a1493	0	1	0	0
a1496	0	0	0	1
a1497	0	0	0	1
a1504	1	0	0	0
a1508	1	0	0	0
a1510	0	0	0	1
a1512	1	0	0	0
a1520	1	0	0	0
a1524	1	0	0	0
a1525	1	0	0	0
a1528	1	0	0	0
a1531	0	0	0	1
a1540	0	1	0	0
a1543	0	0	1	0
a1546	0	1	0	0
a1551	0	0	0	1
a1552	0	0	0	1
a1557	0	1	0	0
a1562	1	0	0	0
a1564	0	0	0	1
a1570	0	0	0	1
a1575	1	0	0	0
a1582	0	0	0	1
a1584	1	0	0	0
a1591	0	1	0	0
a1593	1	0	0	0
a1594	1	0	0	0
a1601	0	1	0	0
a1608	0	0	1	0
a1612	0	0	0	1
a1617	0	0	0	1
a1621	0	1	0	0
a1623	0	1	0	0
a1626	1	0	0	0
a1630	0	0	0	1
a1636	0	1	0	0
a1642	1	0	0	0
a1653	0	0	0	1
a1657	0	0	0	1
a1664	0	0	0	1
a1668	1	0	0	0
a1671	1	0	0	0
a1676	1	0	0	0
a1679	1	0	0	0
a1682	0	0	0	1
a1683	0	0	0	1
a1686	0	0	0	1
a1687	0	0	0	1
a1690	0	0	0	1
a1693	0	0	0	1
a1698	0	0	0	1
a1701	0	0	0	1
a1704	0	0	0	1
a1708	0	0	0	1
a1713	0	1	0	0
a1716	0	1	0	0
a1724	0	0	0	1
a1730	1	0	0	0
a1739	0	0	0	1
a1742	0	0	0	1
a1745	1	0	0	0
a1752	0	0	0	1
a1757	1	0	0	0
a1763	1	0	0	0
a1769	0	0	0	1
a1771	0	1	0	0
a1776	1	0	0	0
a1780	0	0	0	1
a1783	0	1	0	0
a1786	0	0	0	1
a1793	1	0	0	0
a1797	0	0	0	1
a1802	0	0	0	1
a1808	0	1	0	0
a1809	0	0	0	1
a1812	1	0	0	0
a1816	0	1	0	0
a1817	0	1	0	0
a1820	1	0	0	0
a1821	1	0	0	0
a1826	0	0	0	1
a1828	0	0	0	1
a1831	0	0	0	1
a1835	0	0	0	1
a1838	1	0	0	0
a1841	0	1	0	0
a1845	0	0	0	1
a1847	0	1	0	0
a1848	1	0	0	0
a1851	0	0	1	0
a1855	0	0	0	1
a1857	0	0	0	1
a1858	0	1	0	0
a1859	0	1	0	0
a1866	0	1	0	0
a1867	0	1	0	0
a1870	1	0	0	0
a1871	1	0	0	0
a1877	0	0	0	1
a1879	0	1	0	0
a1882	0	0	0	1
a1884	1	0	0	0
a1888	0	1	0	0
a1897	0	0	0	1
a1899	0	1	0	0
a1906	1	0	0	0
a1910	1	0	0	0
a1911	0	0	0	1
a1913	1	0	0	0
a1918	0	0	0	1
a1919	0	0	0	1
a1923	0	0	0	1
a1929	0	0	0	1
a1931	0	1	0	0
a1943	0	1	0	0
a1948	0	0	0	1
a1950	0	0	0	1
a1952	1	0	0	0
a1953	1	0	0	0
a1956	1	0	0	0
a1959	1	0	0	0
a1961	1	0	0	0
a1962	1	0	0	0
a1968	0	0	0	1
a1969	0	0	0	1
a1972	0	0	0	1
a1973	1	0	0	0
a1975	0	1	0	0
a1976	0	0	0	1
a1977	1	0	0	0
a1983	0	0	0	1
a1987	0	0	0	1
a1988	0	1	0	0
a1992	0	0	0	1
a1996	0	1	0	0
a2004	0	0	0	1
a2008	0	0	0	1
a2013	0	0	0	1
a2017	0	0	0	1
a2020	0	0	0	1
a2021	0	0	0	1
a2027	0	0	0	1
a2037	0	0	0	1
a2047	0	0	0	1
a2049	0	0	0	1
a2051	0	0	0	1
a2056	0	1	0	0
a2059	0	0	0	1
a2064	0	0	0	1
a2072	0	0	0	1
a2076	0	0	0	1
a2078	0	0	0	1
a2079	0	0	0	1
a2083	0	0	0	1
a2086	0	0	0	1
a2089	0	0	0	1
a2095	0	0	0	1
a2097	0	0	0	1
a2107	0	0	0	1
a2111	0	0	0	1
a2113	1	0	0	0
a2135	0	0	0	1
a2137	0	0	0	1
a2145	0	0	0	1
a2147	0	0	0	1
a2149	0	0	0	1
a2163	0	1	0	0
a2168	0	0	1	0
a2174	0	0	1	0
a2176	0	0	1	0
a2178	0	0	1	0
a2183	0	0	0	1
a2186	0	1	0	0
a2191	0	0	1	0
a2200	0	0	1	0
a2203	0	0	1	0
a2207	0	1	0	0
a2212	0	1	0	0
a2217	0	1	0	0
a2222	0	0	1	0
a2226	0	0	1	0
a2231	0	0	1	0
a2234	0	0	0	1
a2239	0	0	1	0
a2248	0	1	0	0
a2251	0	1	0	0
a2255	0	0	1	0
a2262	0	0	1	0
a2267	0	0	1	0
a2270	0	1	0	0
a2272	0	1	0	0
a2277	1	0	0	0
a2280	0	0	1	0
a2285	0	1	0	0
a2289	0	0	1	0
a2292	0	0	1	0
a2293	0	0	1	0
a2296	0	0	1	0
a2298	0	0	1	0
a2302	0	0	1	0
a2322	0	0	1	0
a2335	0	1	0	0
a2342	0	0	0	1
a2350	0	0	1	0
a2356	0	1	0	0
a2358	0	1	0	0
a2361	1	0	0	0
a2362	1	0	0	0
a2364	1	0	0	0
